b,k,error
0.0,0.0,92.34182926829268
1.215365853658537,9.012756097560978,1132.8895170871501
-2.957771612135634,-22.691700599643074,13998.347619393891
11.814179850723008,88.77634696522061,173067.78184303665
-40.03190333646358,-303.18669673003825,2139812.8965510433
142.36600050088322,1075.0438755143937,26456780.32802212
-498.90038631322653,-3771.181771805576,327113382.7117156
1756.0468535976465,13269.383447647899,4044451607.4891224
-6172.840695314402,-46649.64263894543,50005868611.72937
21707.25477980564,164041.0682824508,618275884763.4912
-76326.25523591935,-576801.7259774775,7644404152899.991
268384.8869808522,2028192.2623017812,94515921278876.1
-943708.157198957,-7131637.282550321,1168601135747970.8
3318323.1248601032,25076681.64048664,1.4448662151237678e+16
-11668076.072407853,-88176059.9300171,1.786442196352885e+17
41027961.91905756,310049737.02708745,2.2087690109334784e+18
-144264874.50062913,-1090214690.7299716,2.7309366928412766e+19
507272443.1865099,3833475543.822467,3.3765482870274936e+20
-1783700507.9652226,-13479486954.780937,4.174786755223752e+21
6271950213.230842,47397346517.4796,5.161734105373906e+22
-22053791698.555195,-166661273080.92786,6.382002372035445e+23
77546809497.37013,586023944116.7173,7.890750171393351e+24
-272674547086.1892,-2060611062923.6128,9.756175983288769e+25
958793909273.6394,7245639014061.762,1.2062600861698947e+27
-3371366232309.09,-25477532207133.64,1.491427991847383e+28
11854591651482.111,89585562585451.47,1.844011486717325e+29
-41683796283114.086,-315005902396767.25,2.2799480643604543e+30
146570959477553.28,1107641853006789.8,2.8189429478200565e+31
-515381229105388.4,-3894753924283588.0,3.485359805901313e+32
1812213089557219.0,1.3694957525796448e+16,4.3093220407268344e+33
-6372207788132231.0,-4.815499651056064e+16,5.328074426993576e+34
2.240632314660863e+16,1.6932536552699165e+17,6.587666651804655e+35
-7.878640082724051e+16,-5.953915790350356e+17,8.145034854512452e+36
2.7703326934522643e+17,2.0935500790596234e+18,1.0070575256422356e+38
-9.7412029891292e+17,-7.361461075136643e+18,1.24513262136724e+39
3.4252577641557873e+18,2.588479239297367e+19,1.5394902528573434e+40
-1.2044088152153676e+19,-9.101759425046071e+19,1.9034359858312207e+41
4.235011476650165e+19,3.200412944161843e+20,2.3534209102218978e+42
-1.4891390681287475e+20,-1.1253475877392606e+21,2.909785263017916e+43
5.236196351423805e+20,3.9570118460517374e+21,3.597677848489044e+44
-1.8411814462108721e+21,-1.391387240741274e+22,4.448192815467246e+45
6.474067988205561e+21,4.89247575952873e+22,5.499775176336131e+46
-2.276448983459265e+22,-1.720320436805496e+23,6.799958600055844e+47
8.004580711437804e+22,6.04908956273649e+23,8.407514031014895e+48
-2.814616660925874e+23,-2.1270156277370721e+24,1.03951062556663e+50
9.896916819942388e+23,7.479134560194989e+24,1.2852578499181939e+51
-3.4800107560166985e+24,-2.6298562662191096e+25,1.5891013522597795e+52
1.2236613768026404e+25,9.247251704469403e+25,1.9647754790329313e+53
-4.302708439879742e+25,-3.251571775394047e+26,2.429261467507718e+54
1.5129430632996376e+26,1.1433363499156366e+27,3.003555032365527e+55
-5.319897326927559e+26,-4.0202649651797814e+27,3.7136154148543173e+56
1.8706128641303637e+27,1.413628665916602e+28,4.5915387934750724e+57
-6.577556430907498e+27,-4.970682336634966e+28,5.677009096757422e+58
2.312838184285979e+28,1.7478198827918004e+29,7.019091797822893e+59
-8.132534510164945e+28,-6.1457846947234615e+29,8.678451773911225e+60
2.859608510806476e+29,2.1610161256184987e+30,1.073009548264684e+62
-1.005511974754715e+30,-7.598689064380444e+30,1.3266761407009442e+63
3.5356389783928413e+30,2.6718947078939227e+31,1.6403112024041265e+64
-1.2432216919724098e+31,-9.395069688449775e+31,2.0280916782832102e+65
4.371487543938406e+31,3.303548384225179e+32,2.5075460372965502e+66
-1.5371275670464042e+32,-1.161612663749975e+33,3.100346595023889e+67
5.404936268548338e+32,4.08452918996914e+33,3.8332891465631205e+68
-1.9005147453833472e+33,-1.4362256218739775e+34,4.7395041911581455e+69
6.682699143813649e+33,5.050139051504437e+34,5.859954498383089e+70
-2.349809069106682e+34,-1.7757589094012123e+35,7.245286708930854e+71
8.262533659573026e+34,6.2440255053539756e+35,8.958120666140768e+72
-2.9053195586452886e+35,-2.1955601239054292e+36,1.1075879960722769e+74
1.021585156033487e+36,7.720154655919123e+36,1.3694291635076808e+75
-3.592156421906989e+36,-2.7146051370842327e+37,1.693171324098543e+76
1.26309468018784e+37,9.545250553541893e+37,2.0934482842518563e+77
-4.441366086925182e+37,-3.356355842889009e+38,2.588353379520135e+78
1.5616986618260182e+38,1.1801811257762232e+39,3.200257330296339e+79
-5.491334563770806e+38,-4.149820683016573e+39,3.9568194440336404e+80
1.9308946103600686e+39,1.4591837917985362e+40,4.8922378723941364e+81
-6.789522570552262e+39,-5.130865887679247e+40,6.048795437501391e+82
2.3873709361818763e+40,1.804144543361626e+41,7.478770901798463e+83
-8.394610854739866e+40,-6.3438367024123814e+41,9.24680207480971e+84
2.951761300873428e+41,2.230656310490958e+42,1.1432807574055201e+86
-1.0379152682717178e+42,-7.843561883679902e+42,1.41355993096742e+87
3.649577300823028e+42,2.7579982955588337e+43,1.7477348984435614e+88
-1.283285339550066e+43,-9.697832070570376e+43,2.1609110504052137e+89
4.512361643450457e+43,3.410007432579903e+44,2.671764792201494e+90
-1.5866625273239585e+44,-1.1990464060042519e+45,3.303387755599157e+91
5.579113941960115e+44,4.216155865279115e+45,4.0843305876677863e+92
-1.9617600996647512e+45,-1.4825089497215386e+46,5.049893498298392e+93
6.898053577454914e+45,5.212883148139875e+46,6.2437219017371615e+94
-2.425533232405434e+46,-1.8329839237236874e+47,7.719779278388414e+95
8.528799313376462e+46,6.445243388638744e+47,9.544786434266764e+96
-2.998945417693297e+47,-2.266313512144777e+48,1.1801237417604196e+98
1.0545064185292834e+48,7.968941784857516e+48,1.4591128418198075e+99
-3.7079160566208656e+48,-2.802085096794468e+49,1.8040568203361272e+100
1.303798748055231e+49,9.85285261412918e+49,2.230547849158896e+101
-4.5844920690560286e+49,-3.4645166467930768e+50,2.7578641932466334e+102
1.6120254420084241e+50,1.2182132490943783e+51,3.4098416275893545e+103
-5.668296479826881e+50,-4.283551420203979e+51,4.2159508628862433e+104
1.993118976037223e+51,1.5062069619725505e+52,5.212629681818117e+105
-7.008319460313407e+51,-5.296211460411389e+52,6.4449300011930405e+106
2.4643055556804977e+52,1.8622843036562812e+53,7.968554310535706e+107
-8.665132784181332e+52,-6.54827106804223e+53,9.852373538301089e+108
3.0468837760161638e+53,2.3025406967331244e+54,1.2181540158404203e+110
-1.0713627795177079e+54,-8.096325892778499e+54,1.5061337255834725e+111
